,KIC,group,ifpublish,ifradial,PTamp,PTeamp,PTlw,PTelw,PTfc,PTefc,PTlnK,PTelnK
82,1433730,6.0,1.0,1.0,2.0344,0.1781,0.3149,0.05495,49.0747,0.0348,2.4822,1.1636
83,1433803,0.0,1.0,0.0,0.7648,0.18905,0.22899999999999998,0.257,101.5477,0.06455,3.6718,1.1652
84,1433803,1.0,1.0,0.0,1.4617,0.16935,0.3206,0.13385,113.5995,0.04165,9.9759,1.4542
85,1433803,2.0,1.0,1.0,1.9569999999999999,0.1689,0.2086,0.05955,125.2254,0.0229,29.5221,1.7487
86,1433803,3.0,1.0,1.0,4.3853,0.3091,0.1466,0.02945,137.3271,0.0123,121.8183,1.9802
87,1433803,4.0,1.0,1.0,5.337000000000001,0.3844,0.1364,0.0263,149.5273,0.01135,155.8088,2.1137
88,1433803,5.0,1.0,1.0,4.2249,0.2285,0.3206,0.05825,161.6173,0.0212,57.3396,1.7819999999999998
89,1433803,6.0,1.0,1.0,2.7865,0.1887,0.3494,0.08635,173.9681,0.0289,28.0334,1.6071
90,1433803,7.0,1.0,1.0,1.5692,0.18615,0.3365,0.1344,186.4739,0.04915,9.4227,1.4238
91,1569842,0.0,1.0,0.0,0.9132,0.1908,0.3299,0.2563,98.1689,0.08625,4.2432,1.1623
92,1569842,1.0,1.0,1.0,1.9879,0.16399999999999998,0.2928,0.07905,109.4307,0.02955,24.3221,1.6137
93,1569842,2.0,1.0,1.0,3.4013,0.24045,0.1643,0.0353,121.1127,0.01435,86.4888,1.8754
94,1569842,3.0,1.0,1.0,6.4487,0.43405,0.1547,0.0282,132.8975,0.01165,148.3046,2.0781
95,1569842,4.0,1.0,1.0,4.8759,0.32325,0.1671,0.0304,144.664,0.0131,122.6857,1.9538
96,1569842,5.0,1.0,1.0,2.8278,0.1778,0.377,0.07785,156.7262,0.03065,29.3751,1.5987
97,1569842,6.0,1.0,1.0,1.5607,0.21505,0.6371,0.2479,168.7302,0.0865,1.3611,1.1609
98,1572175,0.0,1.0,1.0,0.5644,0.18615,0.1402,0.15715,33.1454,0.04895,1.2899,1.0438
99,1572175,1.0,1.0,1.0,0.9924,0.1675,0.0641,0.03745,38.3581,0.01365,7.9281,1.8892
100,1572175,2.0,1.0,1.0,1.4681,0.1698,0.1167,0.0463,43.467,0.01725,15.3763,1.6408
101,1572175,3.0,1.0,1.0,2.2030000000000003,0.21285,0.1048,0.02925,48.6762,0.0129,34.9675,1.8069
102,1572175,4.0,1.0,1.0,3.1473,0.26155,0.1259,0.03075,54.0881,0.0127,37.5061,1.7791
103,1572175,5.0,1.0,1.0,3.1421,0.2311,0.1837,0.0437,59.4212,0.0167,25.2271,1.6789
104,1572175,6.0,1.0,1.0,2.0131,0.18525,0.2992,0.0886,64.8179,0.03425,8.7663,1.2495
105,1572317,1.0,1.0,1.0,0.8939,0.32125,0.0752,0.49835,138.7378,0.21775,3.1839,1.4329
106,1572317,2.0,1.0,1.0,1.6199,0.2148,0.5914,0.30575,153.1234,0.0726,2.9973,1.2299
107,1572317,3.0,1.0,1.0,2.3988,0.21645,0.8390000000000001,0.26195,167.5134,0.07365,5.7932,1.1743
108,1572317,4.0,1.0,1.0,2.5573,0.20515,0.2604,0.08615,182.2192,0.0242,27.8261,1.7549
109,1572317,5.0,1.0,1.0,4.1655,0.2265,0.5386,0.1183,196.97299999999998,0.0325,27.7791,1.6292
110,1572317,6.0,1.0,1.0,2.9348,0.2012,0.3005,0.06905,211.6154,0.0261,37.5992,1.7383
111,1572317,7.0,1.0,1.0,2.0652,0.2151,0.3986,0.1588,226.5589,0.04485,9.951,1.4053
112,1576646,0.0,1.0,1.0,1.005,0.1784,0.2822,0.17605,63.0985,0.0506,2.4515,1.2292
113,1576646,1.0,1.0,1.0,1.7552,0.17875,0.1181,0.04175,70.3229,0.0147,26.0729,1.8231
114,1576646,2.0,1.0,1.0,3.1577,0.21525,0.1938,0.0437,77.9281,0.0165,40.2757,1.8332
115,1576646,3.0,1.0,1.0,3.3438,0.21375,0.2439,0.05145,85.5886,0.01895,34.3588,1.7522
116,1576646,4.0,1.0,1.0,2.9646,0.19775,0.2388,0.05205,93.2599,0.01965,30.7337,1.7125
117,1576646,7.0,1.0,0.0,1.0374,0.19935,0.2943,0.2023,115.8928,0.0539,2.7909,1.2261
118,1717618,0.0,1.0,1.0,0.7255,0.2002,0.2993,0.26155,80.1342,0.09195,1.9329,1.0142
119,1717618,1.0,1.0,1.0,1.3328,0.16135,0.1987,0.09205,89.7004,0.0283,11.5047,1.6141
120,1717618,2.0,1.0,1.0,1.9629,0.17800000000000002,0.3256,0.11875,98.9381,0.03135,12.9031,1.422
121,1717618,3.0,1.0,1.0,2.3643,0.17835,0.2011,0.0482,108.4982,0.0197,38.9757,1.7559
122,1717618,4.0,1.0,1.0,4.1364,0.2855,0.1583,0.03375,118.2331,0.0132,80.8201,1.8853
123,1717618,5.0,1.0,1.0,3.8339,0.2398,0.212,0.039,127.8515,0.0167,66.0594,1.7894
124,1717618,6.0,1.0,1.0,2.9637,0.1834,0.3991,0.0879,137.6343,0.03055,22.4483,1.5082
125,1720241,0.0,1.0,1.0,1.1406,0.19615,0.2477,0.16245,166.4921,0.05195,6.4425,1.4966
126,1720241,1.0,1.0,1.0,1.6624,0.27115,0.7014,0.39255,181.9938,0.1341,4.7556,1.1465
127,1720241,2.0,1.0,1.0,2.2423,0.2097,0.1981,0.06335,198.158,0.0233,31.0229,1.8067
128,1720241,3.0,1.0,1.0,3.7862,0.3351,0.1178,0.03055,214.1426,0.01275,102.4519,1.9591
129,1720241,4.0,1.0,1.0,1.7956,0.2196,0.139,0.0551,230.2062,0.02215,19.037,2.1042
130,1720241,5.0,1.0,0.0,1.6565,0.2936,0.0434,0.02615,248.0095,0.0092,24.8592,2.6278
131,1723752,0.0,1.0,1.0,0.9109,0.22885,0.2756,0.45205,140.6917,0.09265,1.5106,1.1495
132,1723752,1.0,1.0,1.0,1.3708,0.17095,0.1388,0.06065,155.1108,0.02185,16.4623,2.1234
133,1723752,2.0,1.0,1.0,1.8109,0.19345,0.1159,0.04475,169.8115,0.0149,30.1842,2.0274
134,1723752,3.0,1.0,1.0,3.2023,0.2548,0.1342,0.0344,184.8351,0.013000000000000001,76.6664,1.8928
135,1723752,4.0,1.0,1.0,4.3468,0.3135,0.1461,0.02985,199.7453,0.01275,136.408,2.0176
136,1723752,5.0,1.0,1.0,2.5605,0.20115,0.302,0.08495,214.7499,0.0289,30.5669,1.6549
137,1723752,6.0,1.0,1.0,2.1538,0.2369,0.8540000000000001,0.26495,229.9146,0.10065,4.3624,1.1269
138,1723843,0.0,1.0,1.0,0.604,0.2011,0.2137,0.2327,77.6767,0.12235,2.1872,1.0296
139,1723843,1.0,1.0,1.0,0.9378,0.1578,0.0827,0.04715,87.0738,0.0185,12.2927,2.0735
140,1723843,2.0,1.0,1.0,1.537,0.1535,0.2209,0.06985,96.2459,0.028999999999999998,16.64,1.5979
141,1723843,3.0,1.0,1.0,2.0725,0.19385,0.1497,0.05525,105.6922,0.0165,23.3549,1.8394
142,1723843,4.0,1.0,1.0,1.8992,0.1739,0.1423,0.03885,115.075,0.0173,38.6023,1.7604
143,1723843,5.0,1.0,1.0,1.4741,0.16155,0.1512,0.05015,124.4945,0.0221,20.3074,1.7838
144,1723843,6.0,1.0,0.0,0.932,0.21555,0.3438,0.2487,152.4963,0.0932,2.0509,1.0201
145,1864183,1.0,1.0,0.0,0.8096,0.2021,0.0297,0.03425,38.6983,0.00805,9.1514,2.1078
146,1864183,2.0,1.0,1.0,1.4713,0.1594,0.1365,0.0499,44.6516,0.0184,14.5966,1.6228
147,1864183,3.0,1.0,1.0,2.9776,0.2486,0.1144,0.0285,50.101000000000006,0.0117,42.8965,1.8792
148,1864183,4.0,1.0,1.0,3.8344,0.25465,0.1852,0.04,55.6097,0.01495,30.739,1.7783
149,1864183,5.0,1.0,1.0,2.8647,0.1988,0.2263,0.05375,61.1402,0.01925,19.8323,1.5377
150,1864183,6.0,1.0,1.0,2.0376,0.1765,0.1564,0.0436,66.7976,0.0172,21.8811,1.7062
151,1864855,0.0,1.0,0.0,0.9089,0.20955,0.3093,0.2998,76.4957,0.0651,1.7909,1.1624
152,1864855,2.0,1.0,1.0,1.8078,0.18355,0.4556,0.18095,97.1034,0.04605,5.7313,1.2873
153,1864855,3.0,1.0,1.0,2.7072,0.18465,0.2357,0.05245,107.1465,0.0201,43.7313,1.765
154,1864855,4.0,1.0,1.0,4.5594,0.32745,0.1388,0.02935,117.6351,0.01165,100.2762,1.9509
155,1864855,5.0,1.0,1.0,5.2308,0.3464,0.1625,0.0301,128.0667,0.0126,109.0206,1.9418
156,1864855,6.0,1.0,1.0,3.8835,0.2111,0.3398,0.06195,138.4744,0.0228,43.9207,1.7429
157,1864855,7.0,1.0,0.0,2.7886,0.18365,0.5257,0.12035,149.1517,0.04125,14.8486,1.3441
158,1867706,1.0,1.0,1.0,1.4595,0.1657,0.2051,0.09075,80.8707,0.02555,12.2751,1.5664
159,1867706,2.0,1.0,1.0,2.3701,0.17845,0.2028,0.05035,89.2293,0.0195,32.5031,1.7219
160,1867706,3.0,1.0,1.0,3.4922,0.21405,0.2556,0.05335,98.0016,0.0188,38.5996,1.7706
161,1867706,4.0,1.0,1.0,4.0498,0.2276,0.2881,0.0544,106.7458,0.01985,40.1028,1.7714
162,1867706,5.0,1.0,1.0,3.6317,0.20425,0.3369,0.068,115.4474,0.0238,30.2693,1.6654
163,1867706,6.0,1.0,1.0,2.6427,0.1786,0.4557,0.1039,124.3901,0.0376,15.2162,1.3473
164,1868303,3.0,1.0,1.0,1.9739,0.1988,0.1236,0.0388,36.7637,0.01585,18.2961,1.5689
165,1868303,4.0,1.0,1.0,3.0989,0.2429,0.1742,0.0463,41.3476,0.0167,17.9395,1.6102
166,1868303,5.0,1.0,1.0,2.3226,0.20835,0.1465,0.04065,45.8689,0.01665,19.7878,1.5756
167,1868303,6.0,1.0,1.0,1.7893,0.1843,0.3077,0.07905,50.5518,0.0368,3.1654,1.2612
168,1870433,0.0,1.0,1.0,1.4464,0.1778,0.1864,0.07605,183.9558,0.02825,15.7769,1.9896
169,1870433,1.0,1.0,1.0,2.1961,0.18795,0.2969,0.0876,199.9468,0.0311,24.4363,1.6666
